sceneName,startTime,stopTime,platform,beamModeType,flightDirection,pathNumber,frameNumber,orbit,polarization,processingLevel,url
S1A_IW_SLC__1SDV_20181128T232754_20181128T232821_024795_02BAAF_5C94,2018-11-28T23:27:54Z,2018-11-28T23:28:21Z,Sentinel-1A,IW,ASCENDING,48,79,24795,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20181128T232754_20181128T232821_024795_02BAAF_5C94.zip
S1A_IW_SLC__1SDV_20181210T232754_20181210T232821_024970_02C099_2EA2,2018-12-10T23:27:54Z,2018-12-10T23:28:21Z,Sentinel-1A,IW,ASCENDING,48,79,24970,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20181210T232754_20181210T232821_024970_02C099_2EA2.zip
S1A_IW_SLC__1SDV_20190103T232753_20190103T232820_025320_02CD35_86D9,2019-01-03T23:27:53Z,2019-01-03T23:28:20Z,Sentinel-1A,IW,ASCENDING,48,79,25320,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190103T232753_20190103T232820_025320_02CD35_86D9.zip
S1A_IW_SLC__1SDV_20190115T232753_20190115T232820_025495_02D387_CF4C,2019-01-15T23:27:53Z,2019-01-15T23:28:20Z,Sentinel-1A,IW,ASCENDING,48,79,25495,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190115T232753_20190115T232820_025495_02D387_CF4C.zip
S1A_IW_SLC__1SDV_20190127T232752_20190127T232819_025670_02D9F1_8881,2019-01-27T23:27:52Z,2019-01-27T23:28:19Z,Sentinel-1A,IW,ASCENDING,48,79,25670,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190127T232752_20190127T232819_025670_02D9F1_8881.zip
S1A_IW_SLC__1SDV_20190208T232752_20190208T232819_025845_02E03A_1FB1,2019-02-08T23:27:52Z,2019-02-08T23:28:19Z,Sentinel-1A,IW,ASCENDING,48,79,25845,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190208T232752_20190208T232819_025845_02E03A_1FB1.zip
S1A_IW_SLC__1SDV_20190220T232752_20190220T232819_026020_02E671_CCB3,2019-02-20T23:27:52Z,2019-02-20T23:28:19Z,Sentinel-1A,IW,ASCENDING,48,79,26020,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190220T232752_20190220T232819_026020_02E671_CCB3.zip
S1A_IW_SLC__1SDV_20190304T232752_20190304T232819_026195_02ECBC_2435,2019-03-04T23:27:52Z,2019-03-04T23:28:19Z,Sentinel-1A,IW,ASCENDING,48,79,26195,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190304T232752_20190304T232819_026195_02ECBC_2435.zip
S1A_IW_SLC__1SDV_20190316T232752_20190316T232819_026370_02F328_3AA1,2019-03-16T23:27:52Z,2019-03-16T23:28:19Z,Sentinel-1A,IW,ASCENDING,48,79,26370,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190316T232752_20190316T232819_026370_02F328_3AA1.zip
S1A_IW_SLC__1SDV_20190328T232752_20190328T232819_026545_02F991_F666,2019-03-28T23:27:52Z,2019-03-28T23:28:19Z,Sentinel-1A,IW,ASCENDING,48,79,26545,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190328T232752_20190328T232819_026545_02F991_F666.zip
S1A_IW_SLC__1SDV_20190409T232752_20190409T232819_026720_030004_0BA9,2019-04-09T23:27:52Z,2019-04-09T23:28:19Z,Sentinel-1A,IW,ASCENDING,48,79,26720,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190409T232752_20190409T232819_026720_030004_0BA9.zip
S1A_IW_SLC__1SDV_20190421T232753_20190421T232820_026895_030650_70B4,2019-04-21T23:27:53Z,2019-04-21T23:28:20Z,Sentinel-1A,IW,ASCENDING,48,79,26895,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190421T232753_20190421T232820_026895_030650_70B4.zip
S1A_IW_SLC__1SDV_20190503T232753_20190503T232820_027070_030CB3_3B6B,2019-05-03T23:27:53Z,2019-05-03T23:28:20Z,Sentinel-1A,IW,ASCENDING,48,79,27070,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190503T232753_20190503T232820_027070_030CB3_3B6B.zip
S1A_IW_SLC__1SDV_20190515T232754_20190515T232821_027245_031266_E8DF,2019-05-15T23:27:54Z,2019-05-15T23:28:21Z,Sentinel-1A,IW,ASCENDING,48,79,27245,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190515T232754_20190515T232821_027245_031266_E8DF.zip
S1A_IW_SLC__1SDV_20190527T232754_20190527T232821_027420_0317DA_7BB3,2019-05-27T23:27:54Z,2019-05-27T23:28:21Z,Sentinel-1A,IW,ASCENDING,48,79,27420,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190527T232754_20190527T232821_027420_0317DA_7BB3.zip
S1A_IW_SLC__1SDV_20190608T232755_20190608T232822_027595_031D38_73F4,2019-06-08T23:27:55Z,2019-06-08T23:28:22Z,Sentinel-1A,IW,ASCENDING,48,79,27595,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190608T232755_20190608T232822_027595_031D38_73F4.zip
S1A_IW_SLC__1SDV_20190620T232756_20190620T232823_027770_032270_9E48,2019-06-20T23:27:56Z,2019-06-20T23:28:23Z,Sentinel-1A,IW,ASCENDING,48,79,27770,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190620T232756_20190620T232823_027770_032270_9E48.zip
S1A_IW_SLC__1SDV_20190702T232757_20190702T232824_027945_0327BA_E87A,2019-07-02T23:27:57Z,2019-07-02T23:28:24Z,Sentinel-1A,IW,ASCENDING,48,79,27945,VV+VH,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20190702T232757_20190702T232824_027945_0327BA_E87A.zip
